location	Welisara	7.0278	79.8983
location	Biyagama	6.9462	79.9892
location	Bogambara	7.2874	80.6362
location	Koggala	6.0007	80.3352
location	Minuwangoda	7.1842	79.95
location	Weliweriya	7.0319	80.0283
location	Ahungalla	6.3133	80.0409
location	Kadawatha	7.0047	79.9542
location	Kaduwela	6.9291	79.9828
location	Kayts	9.6526	79.9081
location	Kesbewa	6.7787	79.9473
location	Passara	6.9349	81.1527
location	Ambalangoda	6.2442	80.0591
location	Makola	6.9724	79.9475
location	Narahenpita	6.8976	79.8815
location	Port City	6.9378	79.8368
location	Ja-ela	7.0668	79.9041
location	Marawila	7.4239	79.8353
location	Mirigama	7.2427	80.127
location	Pannipitiya	6.8464	79.9484
location	BIA Airport	7.1802	79.8843
location	Slave Island	6.9257	79.8503
location	Telijjawila	6.0250	80.4959
